Orthogroup,Species,Genes
OG0000000,Zmays_v5,Zm00001eb262130
OG0000000,Zmays_v5,Zm00001eb262430
OG0000000,Zmays_v5,Zm00001eb263310
OG0000000,Zmays_v5,Zm00001eb263410
OG0000000,Zmays_v5,Zm00001eb263510
OG0000000,Zmays_v5,Zm00001eb263750
OG0000000,Zmays_v5,Zm00001eb263830
OG0000005,Gmax_Wm82_v2,Glyma.18G113800
OG0000010,Sbicolor_v5,Sobic.008G185200
OG0000010,Zmays_v5,Zm00001eb355100
OG0000014,Sbicolor_v5,Sobic.007G113500
OG0000015,Gmax_Wm82_v2,Glyma.13G011900
OG0000015,Gmax_Wm82_v2,Glyma.13G012400
OG0000015,Gmax_Wm82_v2,Glyma.13G018200
OG0000015,Gmax_Wm82_v2,Glyma.13G021100
OG0000015,Gmax_Wm82_v2,Glyma.13G022700
OG0000015,Gmax_Wm82_v2,Glyma.13G023300
OG0000029,Zmays_v5,Zm00001eb238870
OG0000034,Gmax_Wm82_v2,Glyma.16G169700
OG0000034,Sbicolor_v5,Sobic.008G075700
OG0000040,Zmays_v5,Zm00001eb361270
OG0000044,Zmays_v5,Zm00001eb237530
OG0000047,Gmax_Wm82_v2,Glyma.06G149300
OG0000051,Sbicolor_v5,Sobic.010G113100
OG0000054,Sbicolor_v5,Sobic.007G099166
OG0000055,Sbicolor_v5,Sobic.004G214800
OG0000055,Sbicolor_v5,Sobic.004G214900
OG0000055,Sbicolor_v5,Sobic.004G217525
OG0000065,Gmax_Wm82_v2,Glyma.08G341400
OG0000065,Gmax_Wm82_v2,Glyma.09G163700
OG0000065,Gmax_Wm82_v2,Glyma.16G212400
OG0000067,Sbicolor_v5,Sobic.004G324800
OG0000071,Sbicolor_v5,Sobic.001G319100
OG0000077,Sbicolor_v5,Sobic.010G264900
OG0000084,Gmax_Wm82_v2,Glyma.02G160000
OG0000086,Sbicolor_v5,Sobic.004G044932
OG0000102,Gmax_Wm82_v2,Glyma.18G231500
OG0000102,Zmays_v5,Zm00001eb419390
OG0000103,Gmax_Wm82_v2,Glyma.08G092800
OG0000112,Gmax_Wm82_v2,Glyma.05G126800
OG0000114,Zmays_v5,Zm00001eb293660
OG0000122,Sbicolor_v5,Sobic.001G197225
OG0000126,Gmax_Wm82_v2,Glyma.18G112900
OG0000135,Gmax_Wm82_v2,Glyma.05G124900
OG0000148,Sbicolor_v5,Sobic.003G285300
OG0000155,Gmax_Wm82_v2,Glyma.17G219800
OG0000155,Gmax_Wm82_v2,Glyma.19G019300
